precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
14,22121,West Baton Rouge,21,194,215,30,5279
68,22017,Caddo,346,195,541,75,451
1,22067,Morehouse,48,195,243,34,1899
1-6,22071,Orleans,6,195,201,28,2164
7-11,22071,Orleans,4,195,199,27,2177
9-40C,22071,Orleans,13,195,208,29,2216
27,22119,Webster,38,196,234,32,3554
43,22017,Caddo,8,197,205,28,464
12-2,22071,Orleans,33,197,230,32,2141
17-5,22071,Orleans,16,197,213,29,2104
5-13,22071,Orleans,72,197,269,37,2205
C7,22079,Rapides,2,197,199,27,2498
1-16,22097,St. Landry,90,197,287,40,2811
1-25,22097,St. Landry,8,197,205,28,2849
4-3,22097,St. Landry,293,197,490,68,2892
18,22101,St. Mary,10,197,207,29,2961
60,22051,Jefferson,502,198,700,97,1270
12-1,22071,Orleans,21,198,219,30,2168
15-14B,22071,Orleans,55,198,253,35,2308
6-2,22071,Orleans,83,198,281,39,2094
6-8,22071,Orleans,18,198,216,30,2048
3-6,22097,St. Landry,179,198,377,52,2840
6-10,22097,St. Landry,62,198,260,36,2852
6-1,22001,Acadia,108,199,307,42,2
39,22017,Caddo,2,199,201,28,439
13-2,22071,Orleans,24,199,223,31,2080
7-5,22071,Orleans,2,199,201,28,2198
9-43I,22071,Orleans,10,199,209,29,2247
1-17,22097,St. Landry,546,199,745,103,2836
1-4,22097,St. Landry,22,199,221,30,2829
3-40,22033,East Baton Rouge,563,200,763,105,893
76,22051,Jefferson,319,200,519,72,1325
12,22067,Morehouse,10,200,210,29,1932
1-4,22069,Natchitoches,24,200,224,31,1947
16-4,22071,Orleans,39,200,239,33,2149
16-5,22071,Orleans,45,200,245,34,2185
17-10,22071,Orleans,12,200,212,29,2178
7-7,22071,Orleans,3,200,203,28,2156
8-20,22071,Orleans,11,200,211,29,2143
18,22105,Tangipahoa,44,200,244,34,3197
4-1,22117,Washington,28,200,228,31,3521
5-1,22007,Assumption,23,201,224,31,155
55,22017,Caddo,83,201,284,39,359
3-45,22033,East Baton Rouge,857,201,1058,146,927
78,22051,Jefferson,295,201,496,68,1250
17-13,22071,Orleans,0,201,201,28,2097
7-17,22071,Orleans,29,201,230,32,2138
7-37,22071,Orleans,19,201,220,30,2206
9-17,22071,Orleans,4,201,205,28,2269
2-5,22089,St. Charles,675,201,876,121,2735
12,22101,St. Mary,136,201,337,47,2979
303,22019,Calcasieu,2,202,204,28,15222
19,22047,Iberville,3,202,205,28,1209
230,22051,Jefferson,433,202,635,88,1426
16,22055,Lafayette,41,202,243,34,1644
15-12A,22071,Orleans,6,202,208,29,2188
7-28,22071,Orleans,7,202,209,29,2084
4,22041,Franklin,65,203,268,37,1087
152,22051,Jefferson,67,203,270,37,1330
36,22055,Lafayette,507,203,710,98,1614
8-2,22071,Orleans,12,203,215,30,2328
5-2,22081,Red River,45,203,248,34,2580
3-1,22089,St. Charles,732,203,935,129,2712
915,22103,St. Tammany,317,203,520,72,3111
8-K,22051,Jefferson,311,204,515,71,1297
11-11,22071,Orleans,6,204,210,29,2242
12-11,22071,Orleans,23,204,227,31,2355
323,22019,Calcasieu,48,205,253,35,493
173,22051,Jefferson,8,205,213,29,1378
14-16,22071,Orleans,125,205,330,46,2147
8-24,22071,Orleans,18,205,223,31,2309
1-105,22033,East Baton Rouge,543,206,749,103,811
29,22055,Lafayette,767,206,973,134,1566
2-8,22069,Natchitoches,25,206,231,32,1954
C5,22079,Rapides,4,206,210,29,2560
1-15,22097,St. Landry,24,206,230,32,2838
F01,22103,St. Tammany,154,206,360,50,3147
15,22017,Caddo,125,207,332,46,487
