precinct,county,parish_name,rep_votes,dem_votes,total_votes,votes_needed,OBJECTID
9-44M,22071,Orleans,15,301,316,44,2162
1-42,22033,East Baton Rouge,465,302,767,106,781
15-14E,22071,Orleans,23,302,325,45,2019
6-15,22097,St. Landry,31,302,333,46,2816
309W,22019,Calcasieu,9,304,313,43,552
7-26,22071,Orleans,3,304,307,42,2114
7-4,22057,Lafourche,86,305,391,54,1669
9-1,22071,Orleans,14,305,319,44,2054
1-1,22089,St. Charles,2,305,307,42,2736
27,22063,Livingston,289,306,595,82,1844
8-30,22071,Orleans,12,306,318,44,2273
2-17,22033,East Baton Rouge,100,307,407,56,892
9-42C,22071,Orleans,2,307,309,43,2243
44,22005,Ascension,56,308,364,50,105
9-21,22071,Orleans,1,308,309,43,2140
1-2,22089,St. Charles,139,308,447,62,2738
1-9,22097,St. Landry,13,308,321,44,2839
55,22055,Lafayette,159,309,468,65,1583
94,22017,Caddo,270,310,580,80,455
1-60,22033,East Baton Rouge,417,310,727,100,838
3-12,22033,East Baton Rouge,352,310,662,91,949
3-27,22033,East Baton Rouge,264,310,574,79,925
15-14G,22071,Orleans,23,310,333,46,2160
17-14,22071,Orleans,1,311,312,43,2233
9-10,22071,Orleans,6,311,317,44,2139
3-1,22091,St. Helena,120,311,431,59,2753
2,22047,Iberville,23,313,336,46,1199
9-36B,22071,Orleans,4,313,317,44,2169
15,22073,Ouachita,2,313,315,43,2433
8-1,22117,Washington,132,313,445,61,3526
53,22017,Caddo,22,314,336,46,472
71,22017,Caddo,2,314,316,44,412
18,22083,Richland,62,314,376,52,2602
2-14,22033,East Baton Rouge,153,315,468,65,870
9-44L,22071,Orleans,3,315,318,44,2240
7-4,22089,St. Charles,162,315,477,66,2708
913,22103,St. Tammany,214,315,529,73,3130
1110,22039,Evangeline,8,316,324,45,1056
16,22073,Ouachita,2,316,318,44,2356
20,22073,Ouachita,21,316,337,47,2416
214B,22051,Jefferson,10,317,327,45,1383
1-18,22097,St. Landry,17,317,334,46,2887
2-11,22033,East Baton Rouge,27,318,345,48,868
11-14,22071,Orleans,2,318,320,44,2199
5-3,22095,St. John the Baptist,304,318,622,86,2806
5-15,22071,Orleans,110,319,429,59,2236
4-11,22095,St. John the Baptist,24,320,344,47,13280
8-19,22071,Orleans,17,322,339,47,2239
1-101,22033,East Baton Rouge,5,323,328,45,789
15-19,22071,Orleans,1,323,324,45,2165
2-4,22071,Orleans,3,323,326,45,2271
91,22017,Caddo,441,324,765,106,418
7,22055,Lafayette,268,324,592,82,1582
9-39,22071,Orleans,8,324,332,46,2135
51,22005,Ascension,10,325,335,46,117
315E,22019,Calcasieu,34,325,359,50,489
C13,22079,Rapides,155,325,480,66,2550
1-1,22029,Concordia,15,326,341,47,707
1-51,22033,East Baton Rouge,3,326,329,45,881
3-1,22009,Avoyelles,109,327,436,60,15205
23,22017,Caddo,14,327,341,47,358
69,22017,Caddo,166,327,493,68,379
304,22019,Calcasieu,14,328,342,47,495
9-44N,22071,Orleans,4,328,332,46,1996
4-10,22117,Washington,67,328,395,55,3518
11,22055,Lafayette,285,329,614,85,1638
C15,22079,Rapides,47,329,376,52,2531
25,22119,Webster,3,329,332,46,3563
44,22017,Caddo,5,330,335,46,370
16,22037,East Feliciana,124,330,454,63,14568
15-10,22071,Orleans,0,330,330,46,2252
C3,22079,Rapides,2,330,332,46,2575
2-21,22033,East Baton Rouge,645,331,976,135,843
329,22019,Calcasieu,89,332,421,58,542
1-98,22033,East Baton Rouge,515,333,848,117,772
15-13B,22071,Orleans,3,333,336,46,2036
2-1,22099,St. Martin,6,333,339,47,2918
1-47,22033,East Baton Rouge,613,334,947,131,788
8-12,22071,Orleans,7,334,341,47,2307
9-25,22071,Orleans,1,334,335,46,2042
1-16,22033,East Baton Rouge,5,335,340,47,918
1-87,22033,East Baton Rouge,420,335,755,104,948
9-1,22061,Lincoln,39,335,374,52,1782
13,22083,Richland,86,336,422,58,2610
2-2,22095,St. John the Baptist,59,336,395,55,2803
2-13,22033,East Baton Rouge,124,337,461,64,882
10-4,22009,Avoyelles,47,338,385,53,174
7-20,22071,Orleans,0,338,338,47,2238
79,22073,Ouachita,1,339,340,47,2362
4-2,22007,Assumption,67,341,408,56,154
80,22017,Caddo,7,341,348,48,361
1-36,22033,East Baton Rouge,46,341,387,53,880
236,22051,Jefferson,134,341,475,66,1470
11,22073,Ouachita,16,342,358,49,2404
1-92,22033,East Baton Rouge,6,343,349,48,829
15-18E,22071,Orleans,186,343,529,73,1997
1-3,22089,St. Charles,188,343,531,73,2728
37,22017,Caddo,12,344,356,49,376
7-18,22071,Orleans,27,344,371,51,2095
2-1,22097,St. Landry,63,344,407,56,2831
106,22017,Caddo,171,345,516,71,433
29,22017,Caddo,8,346,354,49,424
1-81,22033,East Baton Rouge,132,346,478,66,839
2-28,22033,East Baton Rouge,208,346,554,76,810
22,22047,Iberville,480,346,826,114,1210
17,22055,Lafayette,40,346,386,53,1629
364,22019,Calcasieu,134,347,481,66,585
1-23,22033,East Baton Rouge,6,347,353,49,777
13A,22077,Pointe Coupee,2,347,349,48,2471
9-33,22071,Orleans,2,348,350,48,2173
69,22073,Ouachita,2,350,352,49,2374
2-24,22033,East Baton Rouge,3,351,354,49,876
C6,22079,Rapides,3,351,354,49,2545
16,22047,Iberville,1,353,354,49,1206
2-1,22029,Concordia,75,354,429,59,15538
11,22047,Iberville,26,354,380,52,1186
179A,22051,Jefferson,250,355,605,83,1415
330,22019,Calcasieu,32,356,388,54,549
36,22005,Ascension,91,357,448,62,106
9,22077,Pointe Coupee,3,358,361,50,2460
58,22017,Caddo,19,360,379,52,486
1-1,22061,Lincoln,5,360,365,50,1770
238A,22051,Jefferson,149,361,510,70,15543
23,22073,Ouachita,0,361,361,50,2405
44,22087,St. Bernard,21,362,383,53,2670
1-28,22033,East Baton Rouge,16,364,380,52,865
1-91,22033,East Baton Rouge,13,366,379,52,897
1-71,22033,East Baton Rouge,363,367,730,101,953
7-35,22071,Orleans,12,367,379,52,2292
4-2,22097,St. Landry,182,367,549,76,2878
9-43C,22071,Orleans,8,368,376,52,2010
40,22005,Ascension,643,369,1012,140,121
1-37,22033,East Baton Rouge,98,370,468,65,906
3-50,22033,East Baton Rouge,763,370,1133,156,768
3-12,22071,Orleans,18,371,389,54,2077
C20,22079,Rapides,15,373,388,54,2544
305,22019,Calcasieu,6,374,380,52,541
3-13,22033,East Baton Rouge,889,374,1263,174,945
7-30,22071,Orleans,18,375,393,54,2129
47,22017,Caddo,234,376,610,84,351
3-49,22033,East Baton Rouge,586,376,962,133,771
3-2,22117,Washington,73,376,449,62,3512
15,22121,West Baton Rouge,4,376,380,52,5282
328,22019,Calcasieu,144,378,522,72,593
1-2,22007,Assumption,156,380,536,74,153
7-G,22051,Jefferson,31,380,411,57,1272
5-3,22097,St. Landry,87,380,467,64,2875
4-1,22091,St. Helena,229,381,610,84,2742
85,22017,Caddo,191,382,573,79,425
1-2,22033,East Baton Rouge,7,382,389,54,795
5-1,22091,St. Helena,109,382,491,68,2751
1-30,22033,East Baton Rouge,5,384,389,54,900
157A,22051,Jefferson,215,384,599,83,1329
46,22105,Tangipahoa,6,385,391,54,3170
1-29,22033,East Baton Rouge,11,387,398,55,780
3,22047,Iberville,44,387,431,59,1183
57,22017,Caddo,1,388,389,54,479
60,22017,Caddo,3,389,392,54,473
9-43A,22071,Orleans,8,389,397,55,2339
1-38,22033,East Baton Rouge,34,391,425,59,943
31,22017,Caddo,10,393,403,56,410
90,22017,Caddo,329,395,724,100,463
15,22047,Iberville,3,395,398,55,1182
3,22093,St. James,406,395,801,111,2765
52,22017,Caddo,13,396,409,56,482
83,22017,Caddo,185,398,583,80,481
12-3,22045,Iberia,29,398,427,59,1164
7,22109,Terrebonne,147,398,545,75,3315
56,22055,Lafayette,13,401,414,57,1581
18,22073,Ouachita,5,403,408,56,2381
1A,22121,West Baton Rouge,504,403,907,125,5272
3,22017,Caddo,3,404,407,56,467
200,22051,Jefferson,5,404,409,56,1361
104,22051,Jefferson,1,405,406,56,1397
324,22019,Calcasieu,6,408,414,57,604
19,22073,Ouachita,4,411,415,57,2400
237,22051,Jefferson,246,412,658,91,1311
1-24,22033,East Baton Rouge,12,413,425,59,954
13,22093,St. James,7,414,421,58,2769
36,22017,Caddo,53,415,468,65,445
38,22017,Caddo,10,415,425,59,395
3-55,22033,East Baton Rouge,11,416,427,59,848
6,22005,Ascension,942,418,1360,188,104
191,22051,Jefferson,148,418,566,78,1254
1-50,22033,East Baton Rouge,15,420,435,60,849
14,22093,St. James,17,420,437,60,2770
8,22121,West Baton Rouge,111,423,534,74,5278
3-18,22033,East Baton Rouge,402,424,826,114,844
8-15,22071,Orleans,13,424,437,60,2254
215,22051,Jefferson,298,425,723,100,1431
3,22073,Ouachita,156,425,581,80,2380
87,22017,Caddo,115,426,541,75,420
20,22055,Lafayette,76,426,502,69,1596
59,22017,Caddo,14,428,442,61,392
301,22019,Calcasieu,12,428,440,61,576
2-10,22033,East Baton Rouge,213,430,643,89,830
3-21,22033,East Baton Rouge,413,431,844,116,929
61,22017,Caddo,3,432,435,60,378
212A,22051,Jefferson,3,432,435,60,1338
9-44F,22071,Orleans,3,432,435,60,2334
6-3,22095,St. John the Baptist,15,433,448,62,2808
181,22051,Jefferson,18,434,452,62,1455
2-1,22091,St. Helena,29,434,463,64,2743
1-78,22033,East Baton Rouge,61,436,497,69,819
232B,22051,Jefferson,101,438,539,74,1437
1-58,22033,East Baton Rouge,28,443,471,65,840
3-23,22033,East Baton Rouge,364,443,807,111,895
2,22105,Tangipahoa,74,443,517,71,3192
3-3,22095,St. John the Baptist,6,444,450,62,2777
3-4,22095,St. John the Baptist,54,445,499,69,2778
22,22073,Ouachita,10,448,458,63,2431
62,22017,Caddo,119,450,569,79,444
100,22017,Caddo,67,450,517,71,470
1-5,22033,East Baton Rouge,19,451,470,65,842
50,22017,Caddo,9,452,461,64,426
3-32,22033,East Baton Rouge,488,453,941,130,890
15-19C,22071,Orleans,36,453,489,67,2223
7-23,22071,Orleans,5,454,459,63,2204
24,22055,Lafayette,35,456,491,68,1647
1-62,22033,East Baton Rouge,11,460,471,65,888
1-10,22033,East Baton Rouge,4,461,465,64,923
1-104,22033,East Baton Rouge,74,462,536,74,944
151,22051,Jefferson,201,464,665,92,1465
2-22,22033,East Baton Rouge,2,467,469,65,858
180,22051,Jefferson,2,468,470,65,1496
1-27,22033,East Baton Rouge,7,469,476,66,805
814,22103,St. Tammany,97,469,566,78,3042
18,22055,Lafayette,10,471,481,66,1540
1-2,22095,St. John the Baptist,8,471,479,66,2797
9-42,22071,Orleans,6,473,479,66,2326
81,22017,Caddo,53,474,527,73,441
1-25,22033,East Baton Rouge,8,476,484,67,915
25,22017,Caddo,34,480,514,71,457
14,22073,Ouachita,6,480,486,67,2383
201,22051,Jefferson,2,484,486,67,1439
33,22083,Richland,29,484,513,71,2622
19,22055,Lafayette,16,487,503,69,1565
1-63,22033,East Baton Rouge,2,488,490,68,919
5-1,22089,St. Charles,62,488,550,76,2705
9-44P,22071,Orleans,33,489,522,72,2023
2-23,22033,East Baton Rouge,8,491,499,69,878
2-32,22033,East Baton Rouge,409,493,902,124,797
205,22051,Jefferson,43,495,538,74,1468
2-29,22033,East Baton Rouge,670,499,1169,161,827
4,22017,Caddo,72,500,572,79,357
24,22073,Ouachita,5,501,506,70,2386
C4,22079,Rapides,10,501,511,71,2488
86,22017,Caddo,7,504,511,71,383
16,22093,St. James,46,504,550,76,2757
7-3,22099,St. Martin,45,504,549,76,2901
1-73,22033,East Baton Rouge,216,505,721,99,947
7-2,22075,Plaquemines,61,506,567,78,16178
150,22051,Jefferson,209,509,718,99,1301
32,22047,Iberville,66,510,576,79,1176
4,22055,Lafayette,642,510,1152,159,1640
54,22017,Caddo,11,515,526,73,382
2-4,22097,St. Landry,429,516,945,130,2881
18,22119,Webster,83,520,603,83,3576
47,22005,Ascension,32,521,553,76,115
312,22019,Calcasieu,40,523,563,78,534
217,22051,Jefferson,273,527,800,110,1380
1-32,22033,East Baton Rouge,6,529,535,74,939
154,22051,Jefferson,3,530,533,74,1442
1-31,22033,East Baton Rouge,28,532,560,77,824
34,22017,Caddo,19,541,560,77,356
300,22019,Calcasieu,16,545,561,77,589
153,22051,Jefferson,0,546,546,75,1357
10,22047,Iberville,532,551,1083,149,1178
1-61,22033,East Baton Rouge,10,552,562,78,933
3-44,22033,East Baton Rouge,163,558,721,99,802
196,22051,Jefferson,71,560,631,87,1427
C21,22079,Rapides,157,563,720,99,2578
156,22051,Jefferson,34,568,602,83,1472
197B,22051,Jefferson,38,578,616,85,1433
1-82,22033,East Baton Rouge,106,582,688,95,820
2-18,22033,East Baton Rouge,835,582,1417,196,851
1-86,22033,East Baton Rouge,8,587,595,82,896
37,22005,Ascension,67,591,658,91,109
1-95,22033,East Baton Rouge,10,593,603,83,786
2-16,22033,East Baton Rouge,5,594,599,83,931
9-44E,22071,Orleans,10,598,608,84,2172
15-18D,22071,Orleans,69,603,672,93,2352
34,22109,Terrebonne,38,603,641,88,3297
51,22017,Caddo,11,608,619,85,411
195,22051,Jefferson,71,614,685,95,1274
1-29,22097,St. Landry,36,618,654,90,2858
1-3,22095,St. John the Baptist,19,622,641,88,2796
45,22017,Caddo,43,623,666,92,446
1-15,22033,East Baton Rouge,3,623,626,86,950
70,22017,Caddo,47,627,674,93,372
1-14,22033,East Baton Rouge,10,635,645,89,922
3-20,22033,East Baton Rouge,737,636,1373,189,889
2-25,22033,East Baton Rouge,175,643,818,113,807
2-12,22033,East Baton Rouge,157,651,808,112,879
84,22017,Caddo,135,656,791,109,388
2-27,22033,East Baton Rouge,36,670,706,97,936
30,22017,Caddo,41,682,723,100,484
73,22017,Caddo,3,683,686,95,475
1-54,22033,East Baton Rouge,252,684,936,129,941
216A,22051,Jefferson,71,688,759,105,1300
1-70,22033,East Baton Rouge,90,694,784,108,874
1-88,22033,East Baton Rouge,82,734,816,113,817
187,22051,Jefferson,3,748,751,104,1268
1-85,22033,East Baton Rouge,6,749,755,104,783
3-24,22033,East Baton Rouge,57,764,821,113,785
1-77,22033,East Baton Rouge,13,776,789,109,924
122,22017,Caddo,99,825,924,128,408
2-30,22033,East Baton Rouge,16,826,842,116,823
1-84,22033,East Baton Rouge,19,846,865,119,793
5,22017,Caddo,44,920,964,133,477
1-9,22033,East Baton Rouge,251,253,504,70,803
2-1,22033,East Baton Rouge,63,771,834,115,796
2-2,22033,East Baton Rouge,109,537,646,89,818
2-3,22033,East Baton Rouge,130,248,378,52,828
2-4,22033,East Baton Rouge,74,415,489,67,887
2-5,22033,East Baton Rouge,95,180,275,38,955
2-6,22033,East Baton Rouge,484,324,808,112,853
2-7,22033,East Baton Rouge,465,216,681,94,909
2-8,22033,East Baton Rouge,859,126,985,136,778
2-9,22033,East Baton Rouge,22,287,309,43,832
3-1,22033,East Baton Rouge,848,177,1025,141,862
3-2,22033,East Baton Rouge,627,152,779,108,869
3-3,22033,East Baton Rouge,720,190,910,126,787
3-4,22033,East Baton Rouge,339,227,566,78,883
3-5,22033,East Baton Rouge,83,227,310,43,886
3-6,22033,East Baton Rouge,636,93,729,101,873
3-7,22033,East Baton Rouge,642,228,870,120,905
3-8,22033,East Baton Rouge,137,690,827,114,790
3-9,22033,East Baton Rouge,848,272,1120,155,837
5,22035,East Carroll,0,2,2,0,975
14,22035,East Carroll,8,71,79,11,973
7B,22037,East Feliciana,17,24,41,6,14581
7C,22037,East Feliciana,4,0,4,1,14585
7D,22037,East Feliciana,18,6,24,3,14586
9A,22037,East Feliciana,94,106,200,28,14591
9B,22037,East Feliciana,86,99,185,26,14579
6A,22047,Iberville,6,1,7,1,1211
5A,22049,Jackson,35,2,37,5,1233
6A,22049,Jackson,0,26,26,4,4003
8A,22049,Jackson,18,5,23,3,1222
ZZZZZZ,22051,Jefferson,0,0,0,0,1292
85,22055,Lafayette,1064,186,1250,173,1610
87,22055,Lafayette,1362,222,1584,219,1604
95,22055,Lafayette,1143,186,1329,183,1584
96,22055,Lafayette,679,193,872,120,1546
104,22055,Lafayette,873,127,1000,138,1595
1-10,22069,Natchitoches,211,42,253,35,1977
1-10A,22069,Natchitoches,72,31,103,14,1938
1-10B,22069,Natchitoches,139,32,171,24,1961
1-11,22069,Natchitoches,270,188,458,63,1978
1-12,22069,Natchitoches,174,60,234,32,1942
1-13,22069,Natchitoches,8,212,220,30,1950
1-14,22069,Natchitoches,7,103,110,15,1941
3-10,22069,Natchitoches,39,13,52,7,1945
ZZZZZZ,22071,Orleans,0,0,0,0,2120
2-2,22075,Plaquemines,0,0,0,0,16175
4-2,22075,Plaquemines,0,0,0,0,16176
5-2,22075,Plaquemines,0,0,0,0,16186
N1,22079,Rapides,57,34,91,13,2527
N2,22079,Rapides,68,150,218,30,2486
N3,22079,Rapides,115,137,252,35,2517
N4,22079,Rapides,81,147,228,31,2513
N5,22079,Rapides,249,93,342,47,2485
N6,22079,Rapides,347,122,469,65,2567
N7,22079,Rapides,82,8,90,12,2559
N8,22079,Rapides,280,140,420,58,2534
N9,22079,Rapides,244,95,339,47,2565
S1,22079,Rapides,138,84,222,31,2492
S2,22079,Rapides,79,23,102,14,2555
S4,22079,Rapides,71,312,383,53,2554
S5,22079,Rapides,53,17,70,10,2511
S6A,22079,Rapides,192,65,257,35,12634
S6B,22079,Rapides,39,25,64,9,12633
S7,22079,Rapides,318,35,353,49,2504
S8,22079,Rapides,500,94,594,82,2484
S9,22079,Rapides,7,34,41,6,2557
2-7,22089,St. Charles,0,0,0,0,12639
3-4,22089,St. Charles,0,0,0,0,2711
3-6,22089,St. Charles,0,0,0,0,2718
6-3,22089,St. Charles,0,0,0,0,2724
6-5,22089,St. Charles,0,0,0,0,2732
ZZZZZZ,22089,St. Charles,0,0,0,0,2722
ZZZZZZ,22095,St. John the Baptist,0,0,0,0,2787
ZZZZZZ,22103,St. Tammany,0,0,0,0,3004
1,22113,Vermilion,385,60,445,61,3414
